<Date>, <Time>, <Price>, <Volume>
2014/4/16,9:15:00,2233.4,22
2014/4/16,9:15:00,2233.8,430
2014/4/16,9:15:01,2234.4,162
2014/4/16,9:15:01,2234.0,126
2014/4/16,9:15:02,2234.0,113
2014/4/16,9:15:02,2234.4,57
2014/4/16,9:15:03,2234.0,71
2014/4/16,9:15:03,2234.2,33
2014/4/16,9:15:04,2234.6,52
2014/4/16,9:15:04,2234.8,42
2014/4/16,9:15:05,2235.0,43
2014/4/16,9:15:05,2235.2,36
2014/4/16,9:15:06,2235.2,51
2014/4/16,9:15:06,2235.4,30
2014/4/16,9:15:07,2235.4,40
2014/4/16,9:15:07,2235.4,14
2014/4/16,9:15:08,2235.4,56
2014/4/16,9:15:08,2234.8,15
2014/4/16,9:15:09,2234.8,48
2014/4/16,9:15:09,2234.6,35
2014/4/16,9:15:10,2234.2,64
2014/4/16,9:15:10,2234.0,38
2014/4/16,9:15:11,2234.0,35
2014/4/16,9:15:11,2234.0,50
2014/4/16,9:15:12,2233.6,65
2014/4/16,9:15:12,2233.4,36
2014/4/16,9:15:13,2233.4,39
2014/4/16,9:15:13,2233.6,18
2014/4/16,9:15:14,2233.4,14
2014/4/16,9:15:14,2233.4,22
2014/4/16,9:15:15,2233.0,45
2014/4/16,9:15:15,2233.2,33
2014/4/16,9:15:16,2232.8,69
2014/4/16,9:15:16,2233.0,35
2014/4/16,9:15:17,2232.8,43
2014/4/16,9:15:17,2233.2,36
2014/4/16,9:15:18,2233.0,33
2014/4/16,9:15:18,2233.0,69
2014/4/16,9:15:19,2232.8,76
2014/4/16,9:15:19,2232.6,29
2014/4/16,9:15:20,2232.4,61
2014/4/16,9:15:20,2232.8,53
2014/4/16,9:15:21,2232.6,23
2014/4/16,9:15:21,2232.2,17
2014/4/16,9:15:22,2232.2,29
2014/4/16,9:15:22,2232.4,72
2014/4/16,9:15:23,2232.6,58
2014/4/16,9:15:23,2232.6,70
2014/4/16,9:15:24,2232.4,17
2014/4/16,9:15:24,2232.8,36
2014/4/16,9:15:25,2232.6,10
2014/4/16,9:15:25,2232.6,26
2014/4/16,9:15:26,2232.6,9
2014/4/16,9:15:26,2232.6,22
2014/4/16,9:15:27,2232.6,46
2014/4/16,9:15:27,2232.8,17
2014/4/16,9:15:28,2232.6,30
2014/4/16,9:15:28,2232.8,35
2014/4/16,9:15:29,2232.8,40
2014/4/16,9:15:29,2232.8,9
2014/4/16,9:15:30,2233.0,20
2014/4/16,9:15:30,2233.0,9
2014/4/16,9:15:31,2233.4,15
2014/4/16,9:15:31,2233.2,7
2014/4/16,9:15:32,2233.4,12
2014/4/16,9:15:32,2233.4,27
2014/4/16,9:15:33,2233.4,16
2014/4/16,9:15:33,2233.4,27
2014/4/16,9:15:34,2233.2,12
2014/4/16,9:15:34,2233.4,9
2014/4/16,9:15:35,2233.0,4
2014/4/16,9:15:35,2233.4,6
2014/4/16,9:15:36,2233.0,3
2014/4/16,9:15:36,2233.2,60
2014/4/16,9:15:37,2233.0,21
2014/4/16,9:15:37,2233.2,7
2014/4/16,9:15:38,2233.2,6
2014/4/16,9:15:38,2233.0,26
2014/4/16,9:15:39,2233.2,8
2014/4/16,9:15:39,2233.2,10
2014/4/16,9:15:40,2233.2,10
2014/4/16,9:15:40,2233.4,34
2014/4/16,9:15:41,2233.2,97
2014/4/16,9:15:41,2233.2,56
2014/4/16,9:15:42,2233.2,5
2014/4/16,9:15:42,2233.4,11
2014/4/16,9:15:43,2233.2,6
2014/4/16,9:15:43,2233.2,8
2014/4/16,9:15:44,2233.4,24
2014/4/16,9:15:44,2233.0,30
2014/4/16,9:15:45,2233.4,14
2014/4/16,9:15:45,2233.4,4
2014/4/16,9:15:46,2233.4,10
2014/4/16,9:15:46,2233.4,34
2014/4/16,9:15:47,2233.0,27
2014/4/16,9:15:47,2233.4,9
2014/4/16,9:15:48,2233.4,14
2014/4/16,9:15:48,2233.0,8
2014/4/16,9:15:49,2233.4,4
2014/4/16,9:15:49,2233.4,2
2014/4/16,9:15:50,2233.0,45
2014/4/16,9:15:50,2233.4,34
2014/4/16,9:15:51,2233.0,4
2014/4/16,9:15:51,2233.4,35
2014/4/16,9:15:52,2233.4,11
2014/4/16,9:15:52,2233.2,7
2014/4/16,9:15:53,2233.4,13
2014/4/16,9:15:53,2233.0,8
2014/4/16,9:15:54,2233.0,30
2014/4/16,9:15:54,2233.2,11
2014/4/16,9:15:55,2233.4,3
2014/4/16,9:15:55,2233.4,14
2014/4/16,9:15:56,2233.2,6
2014/4/16,9:15:56,2233.4,15
2014/4/16,9:15:57,2233.2,71
2014/4/16,9:15:57,2233.4,13
2014/4/16,9:15:58,2233.0,16
2014/4/16,9:15:58,2233.0,7
2014/4/16,9:15:59,2233.2,2
2014/4/16,9:15:59,2233.0,26
2014/4/16,9:16:00,2233.0,44
2014/4/16,9:16:00,2233.0,67
2014/4/16,9:16:01,2232.6,48
2014/4/16,9:16:01,2232.6,31
2014/4/16,9:16:02,2232.4,9
2014/4/16,9:16:02,2232.6,47
2014/4/16,9:16:03,2232.6,14
2014/4/16,9:16:03,2232.6,14
2014/4/16,9:16:04,2232.6,16
2014/4/16,9:16:04,2232.6,22
2014/4/16,9:16:05,2232.6,44
2014/4/16,9:16:05,2232.8,28
2014/4/16,9:16:06,2232.8,15
2014/4/16,9:16:06,2232.6,13
2014/4/16,9:16:07,2232.8,4
2014/4/16,9:16:07,2232.6,8
2014/4/16,9:16:08,2232.6,13
2014/4/16,9:16:08,2232.6,16
2014/4/16,9:16:09,2232.8,9
2014/4/16,9:16:09,2232.8,1
2014/4/16,9:16:10,2232.4,31
2014/4/16,9:16:10,2232.4,14
2014/4/16,9:16:11,2232.4,8
2014/4/16,9:16:11,2232.6,11
2014/4/16,9:16:12,2232.6,13
2014/4/16,9:16:12,2232.6,9
2014/4/16,9:16:13,2232.8,48
2014/4/16,9:16:13,2232.4,27
2014/4/16,9:16:14,2232.8,6
2014/4/16,9:16:14,2232.8,13
2014/4/16,9:16:15,2232.6,14
2014/4/16,9:16:15,2232.6,6
2014/4/16,9:16:16,2232.4,4
2014/4/16,9:16:16,2232.6,10
2014/4/16,9:16:17,2232.6,11
2014/4/16,9:16:17,2232.4,5
2014/4/16,9:16:18,2232.4,5
2014/4/16,9:16:18,2232.6,40
2014/4/16,9:16:19,2232.2,29
2014/4/16,9:16:19,2232.2,3
2014/4/16,9:16:20,2232.2,13
2014/4/16,9:16:20,2232.2,14
2014/4/16,9:16:21,2232.4,26
2014/4/16,9:16:21,2232.2,39
2014/4/16,9:16:22,2232.2,22
2014/4/16,9:16:22,2232.2,8
2014/4/16,9:16:23,2232.0,6
2014/4/16,9:16:23,2232.0,71
2014/4/16,9:16:24,2232.0,11
2014/4/16,9:16:24,2232.0,26
2014/4/16,9:16:25,2232.0,34
